Breakdown of individual trades US
Name of Issuer Date Time (EST)
Identity code of 
the financial 
instrument 
Currency Price Quantity bought Exchange Venue Reference number of the transaction 
Coca-Cola Europacific Partners PLC 14/09/2026 09:51:44 GB00BDCPN049 USD $104.7500 25 BATS VHTG888320260914E
Coca-Cola Europacific Partners PLC 14/09/2026 09:51:44 GB00BDCPN049 USD $104.7500 15 BATS VHTG888420260914E
Coca-Cola Europacific Partners PLC 14/09/2026 09:51:55 GB00BDCPN049 USD $104.8000 7 UBSS VHTG895520260914E
Coca-Cola Europacific Partners PLC 14/09/2026 09:52:19 GB00BDCPN049 USD $104.8200 45 UBSS VHTG943120260914E
Coca-Cola Europacific Partners PLC 14/09/2026 09:52:24 GB00BDCPN049 USD $104.8000 25 NYSE VHTG949720260914E
Coca-Cola Europacific Partners PLC 14/09/2026 09:52:24 GB00BDCPN049 USD $104.8000 15 NYSE VHTG949820260914E
Coca-Cola Europacific Partners PLC 14/09/2026 09:52:28 GB00BDCPN049 USD $104.7800 20 BATS VHTG951220260914E
Coca-Cola Europacific Partners PLC 14/09/2026 09:52:28 GB00BDCPN049 USD $104.7800 40 BATS VHTG951320260914E
Coca-Cola Europacific Partners PLC 14/09/2026 09:53:02 GB00BDCPN049 USD $104.7500 20 CGXS VHTG981720260914E
Coca-Cola Europacific Partners PLC 14/09/2026 09:53:17 GB00BDCPN049 USD $104.7000 40 BATS VHTG999320260914E
Coca-Cola Europacific Partners PLC 14/09/2026 09:53:17 GB00BDCPN049 USD $104.6700 40 NASD VHTG999420260914E
Coca-Cola Europacific Partners PLC 14/09/2026 09:53:31 GB00BDCPN049 USD $104.6600 20 NASD VHTG1017420260914E
Coca-Cola Europacific Partners PLC 14/09/2026 09:54:15 GB00BDCPN049 USD $104.7200 13 UBSS VHTG1058020260914E
Coca-Cola Europacific Partners PLC 14/09/2026 09:54:15 GB00BDCPN049 USD $104.7200 12 UBSS VHTG1058120260914E
Coca-Cola Europacific Partners PLC 14/09/2026 09:54:18 GB00BDCPN049 USD $104.7000 29 NASD VHTG1059620260914E
Coca-Cola Europacific Partners PLC 14/09/2026 09:54:19 GB00BDCPN049 USD $104.7000 6 UBSS VHTG1059720260914E
Coca-Cola Europacific Partners PLC 14/09/2026 09:54:22 GB00BDCPN049 USD $104.7000 11 NASD VHTG1061220260914E
Coca-Cola Europacific Partners PLC 14/09/2026 09:54:26 GB00BDCPN049 USD $104.6800 12 NASD VHTG1062520260914E
Coca-Cola Europacific Partners PLC 14/09/2026 09:54:26 GB00BDCPN049 USD $104.6800 12 NASD VHTG1064520260914E
Coca-Cola Europacific Partners PLC 14/09/2026 09:54:33 GB00BDCPN049 USD $104.6800 16 NASD VHTG1069120260914E
Coca-Cola Europacific Partners PLC 14/09/2026 09:54:49 GB00BDCPN049 USD $104.6800 20 PCSE VHTG1075320260914E
Coca-Cola Europacific Partners PLC 14/09/2026 09:55:03 GB00BDCPN049 USD $104.6600 25 BATS VHTG1084320260914E
Coca-Cola Europacific Partners PLC 14/09/2026 09:55:04 GB00BDCPN049 USD $104.6600 15 BATS VHTG1085420260914E
Coca-Cola Europacific Partners PLC 14/09/2026 09:55:05 GB00BDCPN049 USD $104.6400 12 NASD VHTG1085920260914E
Coca-Cola Europacific Partners PLC 14/09/2026 09:55:06 GB00BDCPN049 USD $104.6200 60 NASD VHTG1086420260914E
Coca-Cola Europacific Partners PLC 14/09/2026 09:55:11 GB00BDCPN049 USD $104.5900 4 NASD VHTG1089220260914E
Coca-Cola Europacific Partners PLC 14/09/2026 09:55:23 GB00BDCPN049 USD $104.5900 4 NASD VHTG1095020260914E
Coca-Cola Europacific Partners PLC 14/09/2026 09:55:23 GB00BDCPN049 USD $104.5900 4 NASD VHTG1095520260914E
Coca-Cola Europacific Partners PLC 14/09/2026 09:56:06 GB00BDCPN049 USD $104.5900 14 NASD VHTG1126820260914E
Coca-Cola Europacific Partners PLC 14/09/2026 09:56:08 GB00BDCPN049 USD $104.6100 20 PCSE VHTG1127120260914E
Coca-Cola Europacific Partners PLC 14/09/2026 09:56:13 GB00BDCPN049 USD $104.6200 20 EPRL VHTG1129120260914E
Coca-Cola Europacific Partners PLC 14/09/2026 09:56:23 GB00BDCPN049 USD $104.5900 14 NASD VHTG1136320260914E
Coca-Cola Europacific Partners PLC 14/09/2026 09:56:45 GB00BDCPN049 USD $104.6000 39 BAML VHTG1147920260914E
Coca-Cola Europacific Partners PLC 14/09/2026 09:56:45 GB00BDCPN049 USD $104.5900 20 NASD VHTG1148220260914E
Coca-Cola Europacific Partners PLC 14/09/2026 09:57:13 GB00BDCPN049 USD $104.5700 13 UBSS VHTG1166620260914E
Coca-Cola Europacific Partners PLC 14/09/2026 09:57:13 GB00BDCPN049 USD $104.5700 7 UBSS VHTG1166720260914E
Coca-Cola Europacific Partners PLC 14/09/2026 09:57:16 GB00BDCPN049 USD $104.5600 5 NASD VHTG1168320260914E
Coca-Cola Europacific Partners PLC 14/09/2026 09:57:17 GB00BDCPN049 USD $104.5600 55 NASD VHTG1169820260914E
Coca-Cola Europacific Partners PLC 14/09/2026 09:57:19 GB00BDCPN049 USD $104.5300 11 PCSE VHTG1170220260914E
Coca-Cola Europacific Partners PLC 14/09/2026 09:57:40 GB00BDCPN049 USD $104.6100 2 UBSS VHTG1181620260914E
Coca-Cola Europacific Partners PLC 14/09/2026 09:57:57 GB00BDCPN049 USD $104.5800 20 UBSS VHTG1188420260914E
