Breakdown of individual trades US
Name of Issuer Date Time (EST)
Identity code of 
the financial 
instrument Currency Price Quantity bought Exchange Venue Reference number of the transaction 
Coca-Cola Europacific Partners PLC 20/07/2026 09:36:32 GB00BDCPN049 USD $105.1350 13 UBSS VHTG323020260720E
Coca-Cola Europacific Partners PLC 20/07/2026 09:36:32 GB00BDCPN049 USD $105.1350 3 UBSS VHTG323120260720E
Coca-Cola Europacific Partners PLC 20/07/2026 09:37:01 GB00BDCPN049 USD $105.1800 27 UBSS VHTG334520260720E
Coca-Cola Europacific Partners PLC 20/07/2026 09:37:01 GB00BDCPN049 USD $105.1800 73 UBSS VHTG334620260720E
Coca-Cola Europacific Partners PLC 20/07/2026 09:37:17 GB00BDCPN049 USD $105.2050 1 UBSS VHTG340720260720E
Coca-Cola Europacific Partners PLC 20/07/2026 09:37:44 GB00BDCPN049 USD $105.2100 70 IEXG VHTG351820260720E
Coca-Cola Europacific Partners PLC 20/07/2026 09:37:44 GB00BDCPN049 USD $105.2100 25 IEXG VHTG351920260720E
Coca-Cola Europacific Partners PLC 20/07/2026 09:37:44 GB00BDCPN049 USD $105.2100 100 UBSS VHTG351720260720E
Coca-Cola Europacific Partners PLC 20/07/2026 09:37:44 GB00BDCPN049 USD $105.2100 20 UBSS VHTG352020260720E
Coca-Cola Europacific Partners PLC 20/07/2026 09:37:44 GB00BDCPN049 USD $105.2100 20 UBSS VHTG352120260720E
Coca-Cola Europacific Partners PLC 20/07/2026 09:37:44 GB00BDCPN049 USD $105.2100 20 UBSS VHTG352220260720E
Coca-Cola Europacific Partners PLC 20/07/2026 09:37:44 GB00BDCPN049 USD $105.2100 24 UBSS VHTG352320260720E
Coca-Cola Europacific Partners PLC 20/07/2026 09:37:51 GB00BDCPN049 USD $105.2100 20 UBSS VHTG353120260720E
Coca-Cola Europacific Partners PLC 20/07/2026 09:37:51 GB00BDCPN049 USD $105.2100 15 UBSS VHTG353220260720E
Coca-Cola Europacific Partners PLC 20/07/2026 09:38:08 GB00BDCPN049 USD $105.2350 1 UBSS VHTG360420260720E
Coca-Cola Europacific Partners PLC 20/07/2026 09:38:11 GB00BDCPN049 USD $105.2350 13 UBSS VHTG363120260720E
Coca-Cola Europacific Partners PLC 20/07/2026 09:38:11 GB00BDCPN049 USD $105.2350 37 UBSS VHTG363220260720E
Coca-Cola Europacific Partners PLC 20/07/2026 09:38:11 GB00BDCPN049 USD $105.2350 13 UBSS VHTG363320260720E
Coca-Cola Europacific Partners PLC 20/07/2026 09:38:11 GB00BDCPN049 USD $105.2350 9 UBSS VHTG363420260720E
Coca-Cola Europacific Partners PLC 20/07/2026 09:38:12 GB00BDCPN049 USD $105.2250 39 INCR VHTG364820260720E
Coca-Cola Europacific Partners PLC 20/07/2026 09:38:26 GB00BDCPN049 USD $105.2300 58 UBSS VHTG368320260720E
Coca-Cola Europacific Partners PLC 20/07/2026 09:38:32 GB00BDCPN049 USD $105.2125 46 BAML VHTG383120260720E
Coca-Cola Europacific Partners PLC 20/07/2026 09:38:49 GB00BDCPN049 USD $105.2350 1 UBSS VHTG404420260720E
Coca-Cola Europacific Partners PLC 20/07/2026 09:39:11 GB00BDCPN049 USD $105.3150 1 UBSS VHTG411620260720E
Coca-Cola Europacific Partners PLC 20/07/2026 09:39:15 GB00BDCPN049 USD $105.4500 100 IEXG VHTG413420260720E
Coca-Cola Europacific Partners PLC 20/07/2026 09:39:15 GB00BDCPN049 USD $105.4500 100 UBSS VHTG413320260720E
Coca-Cola Europacific Partners PLC 20/07/2026 09:39:17 GB00BDCPN049 USD $105.4500 3 UBSS VHTG413920260720E
Coca-Cola Europacific Partners PLC 20/07/2026 09:39:24 GB00BDCPN049 USD $105.4500 42 UBSS VHTG419820260720E
Coca-Cola Europacific Partners PLC 20/07/2026 09:39:36 GB00BDCPN049 USD $105.4500 34 UBSS VHTG428820260720E
Coca-Cola Europacific Partners PLC 20/07/2026 09:39:36 GB00BDCPN049 USD $105.4500 51 UBSS VHTG428920260720E
Coca-Cola Europacific Partners PLC 20/07/2026 09:39:44 GB00BDCPN049 USD $105.4700 40 CGXS VHTG431120260720E
Coca-Cola Europacific Partners PLC 20/07/2026 09:39:58 GB00BDCPN049 USD $105.5400 43 IEXG VHTG444820260720E
Coca-Cola Europacific Partners PLC 20/07/2026 09:39:59 GB00BDCPN049 USD $105.5400 9 UBSS VHTG445220260720E
Coca-Cola Europacific Partners PLC 20/07/2026 09:40:07 GB00BDCPN049 USD $105.4200 20 NASD VHTG450020260720E
Coca-Cola Europacific Partners PLC 20/07/2026 09:40:07 GB00BDCPN049 USD $105.5200 41 UBSS VHTG449920260720E
Coca-Cola Europacific Partners PLC 20/07/2026 09:40:07 GB00BDCPN049 USD $105.5300 28 UBSS VHTG449820260720E
Coca-Cola Europacific Partners PLC 20/07/2026 09:40:41 GB00BDCPN049 USD $105.4900 13 UBSS VHTG468020260720E
Coca-Cola Europacific Partners PLC 20/07/2026 09:40:41 GB00BDCPN049 USD $105.4900 13 UBSS VHTG468120260720E
Coca-Cola Europacific Partners PLC 20/07/2026 09:40:41 GB00BDCPN049 USD $105.4900 13 UBSS VHTG468220260720E
Coca-Cola Europacific Partners PLC 20/07/2026 09:40:41 GB00BDCPN049 USD $105.4900 13 UBSS VHTG468320260720E
Coca-Cola Europacific Partners PLC 20/07/2026 09:40:41 GB00BDCPN049 USD $105.4900 13 UBSS VHTG468420260720E
Coca-Cola Europacific Partners PLC 20/07/2026 09:40:41 GB00BDCPN049 USD $105.4900 13 UBSS VHTG468520260720E
Coca-Cola Europacific Partners PLC 20/07/2026 09:40:41 GB00BDCPN049 USD $105.4900 13 UBSS VHTG468620260720E
Coca-Cola Europacific Partners PLC 20/07/2026 09:40:41 GB00BDCPN049 USD $105.4900 13 UBSS VHTG468720260720E
Coca-Cola Europacific Partners PLC 20/07/2026 09:40:41 GB00BDCPN049 USD $105.4900 13 UBSS VHTG468820260720E
Coca-Cola Europacific Partners PLC 20/07/2026 09:40:41 GB00BDCPN049 USD $105.4900 4 UBSS VHTG468920260720E
Coca-Cola Europacific Partners PLC 20/07/2026 09:40:48 GB00BDCPN049 USD $105.4700 13 UBSS VHTG470920260720E
Coca-Cola Europacific Partners PLC 20/07/2026 09:40:48 GB00BDCPN049 USD $105.4700 13 UBSS VHTG471020260720E
Coca-Cola Europacific Partners PLC 20/07/2026 09:40:48 GB00BDCPN049 USD $105.4700 13 UBSS VHTG471120260720E
Coca-Cola Europacific Partners PLC 20/07/2026 09:40:58 GB00BDCPN049 USD $105.4800 60 UBSS VHTG480620260720E
Coca-Cola Europacific Partners PLC 20/07/2026 09:41:07 GB00BDCPN049 USD $105.4800 43 UBSS VHTG483220260720E
Coca-Cola Europacific Partners PLC 20/07/2026 09:41:17 GB00BDCPN049 USD $105.4900 47 UBSS VHTG489720260720E
Coca-Cola Europacific Partners PLC 20/07/2026 09:41:19 GB00BDCPN049 USD $105.4200 25 PCSE VHTG490720260720E
Coca-Cola Europacific Partners PLC 20/07/2026 09:41:19 GB00BDCPN049 USD $105.4200 15 PCSE VHTG490820260720E
Coca-Cola Europacific Partners PLC 20/07/2026 09:42:12 GB00BDCPN049 USD $105.4300 100 UBSS VHTG524520260720E
Coca-Cola Europacific Partners PLC 20/07/2026 09:42:12 GB00BDCPN049 USD $105.4300 40 UBSS VHTG524620260720E
Coca-Cola Europacific Partners PLC 20/07/2026 09:42:12 GB00BDCPN049 USD $105.4300 47 UBSS VHTG524720260720E
Coca-Cola Europacific Partners PLC 20/07/2026 09:42:15 GB00BDCPN049 USD $105.4300 1 INCR VHTG525120260720E
Coca-Cola Europacific Partners PLC 20/07/2026 09:42:18 GB00BDCPN049 USD $105.4300 13 UBSS VHTG525720260720E
Coca-Cola Europacific Partners PLC 20/07/2026 09:42:18 GB00BDCPN049 USD $105.4300 13 UBSS VHTG525820260720E
Coca-Cola Europacific Partners PLC 20/07/2026 09:42:18 GB00BDCPN049 USD $105.4300 13 UBSS VHTG525920260720E
Coca-Cola Europacific Partners PLC 20/07/2026 09:42:18 GB00BDCPN049 USD $105.4300 3 UBSS VHTG526020260720E
Coca-Cola Europacific Partners PLC 20/07/2026 09:42:23 GB00BDCPN049 USD $105.4300 38 INCR VHTG527020260720E
Coca-Cola Europacific Partners PLC 20/07/2026 09:42:34 GB00BDCPN049 USD $105.4200 1 UBSS VHTG534320260720E
Coca-Cola Europacific Partners PLC 20/07/2026 09:42:45 GB00BDCPN049 USD $105.4200 1 UBSS VHTG536820260720E
Coca-Cola Europacific Partners PLC 20/07/2026 09:42:45 GB00BDCPN049 USD $105.4200 87 UBSS VHTG537020260720E
