Breakdown of individual trades US
Name of Issuer Date Time (EST)
Identity code of 
the financial 
instrument Currency Price Quantity bought Exchange Venue Reference number of the transaction 
Coca-Cola Europacific Partners PLC 10/08/2026 09:45:35 GB00BDCPN049 USD $106.9400 187 INCR VHTG419720260810E
Coca-Cola Europacific Partners PLC 10/08/2026 09:45:35 GB00BDCPN049 USD $106.9400 10 INCR VHTG419820260810E
# Classification - Internal
Coca-Cola Europacific Partners PLC 10/08/2026 09:46:11 GB00BDCPN049 USD $106.9400 20 BATS VHTG447320260810E
Coca-Cola Europacific Partners PLC 10/08/2026 09:46:12 GB00BDCPN049 USD $106.9000 25 PCSE VHTG448520260810E
Coca-Cola Europacific Partners PLC 10/08/2026 09:46:15 GB00BDCPN049 USD $106.9000 15 PCSE VHTG450220260810E
Coca-Cola Europacific Partners PLC 10/08/2026 09:46:16 GB00BDCPN049 USD $106.8700 40 NASD VHTG450720260810E
Coca-Cola Europacific Partners PLC 10/08/2026 09:46:39 GB00BDCPN049 USD $106.9400 20 NASD VHTG465320260810E
Coca-Cola Europacific Partners PLC 10/08/2026 09:46:43 GB00BDCPN049 USD $106.9100 20 PCSE VHTG467820260810E
Coca-Cola Europacific Partners PLC 10/08/2026 09:46:49 GB00BDCPN049 USD $106.8800 20 MEMX VHTG471420260810E
Coca-Cola Europacific Partners PLC 10/08/2026 09:47:04 GB00BDCPN049 USD $106.8300 20 PCSE VHTG480220260810E
Coca-Cola Europacific Partners PLC 10/08/2026 09:47:15 GB00BDCPN049 USD $106.7900 25 NYSE VHTG487620260810E
Coca-Cola Europacific Partners PLC 10/08/2026 09:47:15 GB00BDCPN049 USD $106.7900 15 NYSE VHTG487720260810E
Coca-Cola Europacific Partners PLC 10/08/2026 09:47:33 GB00BDCPN049 USD $106.7700 20 BATS VHTG491420260810E
Coca-Cola Europacific Partners PLC 10/08/2026 09:47:37 GB00BDCPN049 USD $106.7400 12 MEMX VHTG494720260810E
Coca-Cola Europacific Partners PLC 10/08/2026 09:47:37 GB00BDCPN049 USD $106.7400 8 MEMX VHTG494820260810E
Coca-Cola Europacific Partners PLC 10/08/2026 09:48:03 GB00BDCPN049 USD $106.6800 20 PCSE VHTG499120260810E
Coca-Cola Europacific Partners PLC 10/08/2026 09:48:22 GB00BDCPN049 USD $106.6500 2 BATS VHTG502220260810E
Coca-Cola Europacific Partners PLC 10/08/2026 09:48:24 GB00BDCPN049 USD $106.6500 1 BATS VHTG502520260810E
Coca-Cola Europacific Partners PLC 10/08/2026 09:48:24 GB00BDCPN049 USD $106.6500 17 BATS VHTG502620260810E
Coca-Cola Europacific Partners PLC 10/08/2026 09:48:45 GB00BDCPN049 USD $106.5900 20 MEMX VHTG508420260810E
Coca-Cola Europacific Partners PLC 10/08/2026 09:48:45 GB00BDCPN049 USD $106.6200 20 NASD VHTG508320260810E
Coca-Cola Europacific Partners PLC 10/08/2026 09:49:01 GB00BDCPN049 USD $106.5300 20 EPRL VHTG513220260810E
Coca-Cola Europacific Partners PLC 10/08/2026 09:49:01 GB00BDCPN049 USD $106.4700 40 NASD VHTG513420260810E
Coca-Cola Europacific Partners PLC 10/08/2026 09:49:01 GB00BDCPN049 USD $106.5000 40 NASD VHTG513320260810E
Coca-Cola Europacific Partners PLC 10/08/2026 09:49:35 GB00BDCPN049 USD $106.5700 4 PCSE VHTG526820260810E
Coca-Cola Europacific Partners PLC 10/08/2026 09:49:35 GB00BDCPN049 USD $106.5700 39 UBSS VHTG526720260810E
Coca-Cola Europacific Partners PLC 10/08/2026 09:49:51 GB00BDCPN049 USD $106.5800 20 PCSE VHTG536320260810E
Coca-Cola Europacific Partners PLC 10/08/2026 09:50:31 GB00BDCPN049 USD $106.6300 20 BATS VHTG552120260810E
Coca-Cola Europacific Partners PLC 10/08/2026 09:51:22 GB00BDCPN049 USD $106.6800 40 MEMX VHTG585420260810E
Coca-Cola Europacific Partners PLC 10/08/2026 09:51:22 GB00BDCPN049 USD $106.6300 40 NASD VHTG585820260810E
Coca-Cola Europacific Partners PLC 10/08/2026 09:51:37 GB00BDCPN049 USD $106.8300 4 MEMX VHTG594720260810E
Coca-Cola Europacific Partners PLC 10/08/2026 09:51:37 GB00BDCPN049 USD $106.8300 20 MEMX VHTG594820260810E
Coca-Cola Europacific Partners PLC 10/08/2026 09:51:37 GB00BDCPN049 USD $106.8300 16 MEMX VHTG594920260810E
Coca-Cola Europacific Partners PLC 10/08/2026 09:51:37 GB00BDCPN049 USD $106.8300 100 UBSS VHTG595020260810E
Coca-Cola Europacific Partners PLC 10/08/2026 09:52:52 GB00BDCPN049 USD $106.9600 20 NASD VHTG635120260810E
Coca-Cola Europacific Partners PLC 10/08/2026 09:53:50 GB00BDCPN049 USD $107.0300 25 PCSE VHTG648120260810E
Coca-Cola Europacific Partners PLC 10/08/2026 09:53:50 GB00BDCPN049 USD $107.0300 15 PCSE VHTG648220260810E
