Breakdown of individual trades US
Name of Issuer Date Time (EST)
Identity code of 
the financial 
instrument 
Currency Price Quantity bought Exchange Venue Reference number of the transaction 
Coca-Cola Europacific Partners PLC 31/08/2026 09:48:20 GB00BDCPN049 USD $108.3900 9 UBSS VHTG270820260831E
Coca-Cola Europacific Partners PLC 31/08/2026 09:48:20 GB00BDCPN049 USD $108.3900 13 UBSS VHTG270920260831E
Coca-Cola Europacific Partners PLC 31/08/2026 09:48:20 GB00BDCPN049 USD $108.3900 283 UBSS VHTG271020260831E
Coca-Cola Europacific Partners PLC 31/08/2026 09:48:45 GB00BDCPN049 USD $108.3800 1 MEMX VHTG276120260831E
Coca-Cola Europacific Partners PLC 31/08/2026 09:48:45 GB00BDCPN049 USD $108.3800 39 MEMX VHTG276420260831E
Coca-Cola Europacific Partners PLC 31/08/2026 09:48:45 GB00BDCPN049 USD $108.3600 96 UBSS VHTG276320260831E
Coca-Cola Europacific Partners PLC 31/08/2026 09:48:57 GB00BDCPN049 USD $108.3400 25 PCSE VHTG280120260831E
Coca-Cola Europacific Partners PLC 31/08/2026 09:49:10 GB00BDCPN049 USD $108.3900 22 IEXG VHTG282620260831E
Coca-Cola Europacific Partners PLC 31/08/2026 09:49:10 GB00BDCPN049 USD $108.3900 2 JPMX VHTG282520260831E
Coca-Cola Europacific Partners PLC 31/08/2026 09:49:15 GB00BDCPN049 USD $108.3900 2 UBSS VHTG283220260831E
Coca-Cola Europacific Partners PLC 31/08/2026 09:49:24 GB00BDCPN049 USD $108.3900 48 IEXG VHTG284420260831E
Coca-Cola Europacific Partners PLC 31/08/2026 09:49:37 GB00BDCPN049 USD $108.3650 25 IEXG VHTG288120260831E
Coca-Cola Europacific Partners PLC 31/08/2026 09:49:37 GB00BDCPN049 USD $108.3650 20 IEXG VHTG288220260831E
Coca-Cola Europacific Partners PLC 31/08/2026 09:49:51 GB00BDCPN049 USD $108.3400 15 PCSE VHTG293720260831E
Coca-Cola Europacific Partners PLC 31/08/2026 09:49:52 GB00BDCPN049 USD $108.3600 7 UBSS VHTG294220260831E
Coca-Cola Europacific Partners PLC 31/08/2026 09:49:52 GB00BDCPN049 USD $108.3600 13 UBSS VHTG294320260831E
Coca-Cola Europacific Partners PLC 31/08/2026 09:49:52 GB00BDCPN049 USD $108.3600 12 UBSS VHTG294420260831E
Coca-Cola Europacific Partners PLC 31/08/2026 09:50:03 GB00BDCPN049 USD $108.3600 13 UBSS VHTG297620260831E
Coca-Cola Europacific Partners PLC 31/08/2026 09:50:03 GB00BDCPN049 USD $108.3600 13 UBSS VHTG297720260831E
Coca-Cola Europacific Partners PLC 31/08/2026 09:50:03 GB00BDCPN049 USD $108.3600 13 UBSS VHTG297820260831E
Coca-Cola Europacific Partners PLC 31/08/2026 09:50:03 GB00BDCPN049 USD $108.3600 2 UBSS VHTG297920260831E
Coca-Cola Europacific Partners PLC 31/08/2026 09:50:24 GB00BDCPN049 USD $108.3600 13 UBSS VHTG301420260831E
Coca-Cola Europacific Partners PLC 31/08/2026 09:50:24 GB00BDCPN049 USD $108.3600 13 UBSS VHTG301520260831E
Coca-Cola Europacific Partners PLC 31/08/2026 09:50:24 GB00BDCPN049 USD $108.3600 13 UBSS VHTG301620260831E
Coca-Cola Europacific Partners PLC 31/08/2026 09:50:24 GB00BDCPN049 USD $108.3600 13 UBSS VHTG301720260831E
Coca-Cola Europacific Partners PLC 31/08/2026 09:50:24 GB00BDCPN049 USD $108.3600 10 UBSS VHTG301820260831E
Coca-Cola Europacific Partners PLC 31/08/2026 09:50:45 GB00BDCPN049 USD $108.3400 4 UBSS VHTG304620260831E
Coca-Cola Europacific Partners PLC 31/08/2026 09:51:00 GB00BDCPN049 USD $108.3600 13 UBSS VHTG307820260831E
Coca-Cola Europacific Partners PLC 31/08/2026 09:51:00 GB00BDCPN049 USD $108.3600 13 UBSS VHTG307920260831E
Coca-Cola Europacific Partners PLC 31/08/2026 09:51:00 GB00BDCPN049 USD $108.3600 13 UBSS VHTG308020260831E
