Breakdown of individual trades US
Name of Issuer Date Time (EST)
Identity code of 
the financial 
instrument Currency Price Quantity bought Exchange Venue Reference number of the transaction 
Coca-Cola Europacific Partners PLC 03/08/2026 09:41:03 GB00BDCPN049 USD $109.7400 25 PCSE VHTG2631820260803E
Coca-Cola Europacific Partners PLC 03/08/2026 09:41:03 GB00BDCPN049 USD $109.7400 15 PCSE VHTG2631920260803E
Coca-Cola Europacific Partners PLC 03/08/2026 09:41:44 GB00BDCPN049 USD $109.7500 25 NYSE VHTG2655220260803E
Coca-Cola Europacific Partners PLC 03/08/2026 09:41:44 GB00BDCPN049 USD $109.7500 15 NYSE VHTG2655320260803E
# Classification - Internal
Coca-Cola Europacific Partners PLC 03/08/2026 09:42:24 GB00BDCPN049 USD $109.8600 13 UBSS VHTG2680920260803E
Coca-Cola Europacific Partners PLC 03/08/2026 09:42:24 GB00BDCPN049 USD $109.8600 13 UBSS VHTG2681020260803E
Coca-Cola Europacific Partners PLC 03/08/2026 09:42:24 GB00BDCPN049 USD $109.8600 1 UBSS VHTG2681120260803E
Coca-Cola Europacific Partners PLC 03/08/2026 09:42:25 GB00BDCPN049 USD $109.7900 25 NASD VHTG2681320260803E
Coca-Cola Europacific Partners PLC 03/08/2026 09:42:25 GB00BDCPN049 USD $109.7900 15 NASD VHTG2682120260803E
Coca-Cola Europacific Partners PLC 03/08/2026 09:42:57 GB00BDCPN049 USD $109.8500 13 UBSS VHTG2710220260803E
Coca-Cola Europacific Partners PLC 03/08/2026 09:42:57 GB00BDCPN049 USD $109.8500 13 UBSS VHTG2710320260803E
Coca-Cola Europacific Partners PLC 03/08/2026 09:42:57 GB00BDCPN049 USD $109.8500 13 UBSS VHTG2710420260803E
Coca-Cola Europacific Partners PLC 03/08/2026 09:42:57 GB00BDCPN049 USD $109.8500 4 UBSS VHTG2710520260803E
Coca-Cola Europacific Partners PLC 03/08/2026 09:43:00 GB00BDCPN049 USD $109.8700 31 NASD VHTG2711020260803E
Coca-Cola Europacific Partners PLC 03/08/2026 09:43:00 GB00BDCPN049 USD $109.8700 9 NASD VHTG2711120260803E
Coca-Cola Europacific Partners PLC 03/08/2026 09:43:20 GB00BDCPN049 USD $109.9400 13 UBSS VHTG2721520260803E
Coca-Cola Europacific Partners PLC 03/08/2026 09:43:20 GB00BDCPN049 USD $109.9400 13 UBSS VHTG2721620260803E
Coca-Cola Europacific Partners PLC 03/08/2026 09:43:20 GB00BDCPN049 USD $109.9400 13 UBSS VHTG2721720260803E
Coca-Cola Europacific Partners PLC 03/08/2026 09:43:20 GB00BDCPN049 USD $109.9400 9 UBSS VHTG2721820260803E
Coca-Cola Europacific Partners PLC 03/08/2026 09:43:35 GB00BDCPN049 USD $109.8700 40 MEMX VHTG2726820260803E
Coca-Cola Europacific Partners PLC 03/08/2026 09:43:37 GB00BDCPN049 USD $109.8800 1 UBSS VHTG2727620260803E
Coca-Cola Europacific Partners PLC 03/08/2026 09:43:55 GB00BDCPN049 USD $109.8400 49 BAML VHTG2733020260803E
Coca-Cola Europacific Partners PLC 03/08/2026 09:43:55 GB00BDCPN049 USD $109.8200 25 PCSE VHTG2733120260803E
Coca-Cola Europacific Partners PLC 03/08/2026 09:43:55 GB00BDCPN049 USD $109.8200 15 PCSE VHTG2733220260803E
Coca-Cola Europacific Partners PLC 03/08/2026 09:43:56 GB00BDCPN049 USD $109.7900 5 NASD VHTG2733620260803E
Coca-Cola Europacific Partners PLC 03/08/2026 09:44:00 GB00BDCPN049 USD $109.7900 25 NASD VHTG2734220260803E
Coca-Cola Europacific Partners PLC 03/08/2026 09:44:00 GB00BDCPN049 USD $109.7900 10 NASD VHTG2734320260803E
Coca-Cola Europacific Partners PLC 03/08/2026 09:45:02 GB00BDCPN049 USD $109.7600 20 UBSS VHTG2756420260803E
Coca-Cola Europacific Partners PLC 03/08/2026 09:45:09 GB00BDCPN049 USD $109.7600 18 UBSS VHTG2759220260803E
Coca-Cola Europacific Partners PLC 03/08/2026 09:45:09 GB00BDCPN049 USD $109.7600 18 UBSS VHTG2759320260803E
Coca-Cola Europacific Partners PLC 03/08/2026 09:45:09 GB00BDCPN049 USD $109.7600 13 UBSS VHTG2759420260803E
Coca-Cola Europacific Partners PLC 03/08/2026 09:45:09 GB00BDCPN049 USD $109.7600 13 UBSS VHTG2759520260803E
Coca-Cola Europacific Partners PLC 03/08/2026 09:45:09 GB00BDCPN049 USD $109.7600 13 UBSS VHTG2759620260803E
Coca-Cola Europacific Partners PLC 03/08/2026 09:45:09 GB00BDCPN049 USD $109.7600 2 UBSS VHTG2759720260803E
Coca-Cola Europacific Partners PLC 03/08/2026 09:45:25 GB00BDCPN049 USD $109.7450 20 UBSS VHTG2762720260803E
Coca-Cola Europacific Partners PLC 03/08/2026 09:45:30 GB00BDCPN049 USD $109.7450 7 UBSS VHTG2763520260803E
Coca-Cola Europacific Partners PLC 03/08/2026 09:45:30 GB00BDCPN049 USD $109.7450 14 UBSS VHTG2763720260803E
Coca-Cola Europacific Partners PLC 03/08/2026 09:46:03 GB00BDCPN049 USD $109.8000 100 UBSS VHTG2774620260803E
Coca-Cola Europacific Partners PLC 03/08/2026 09:46:03 GB00BDCPN049 USD $109.8000 87 UBSS VHTG2774720260803E
Coca-Cola Europacific Partners PLC 03/08/2026 09:46:03 GB00BDCPN049 USD $109.8000 13 UBSS VHTG2774820260803E
Coca-Cola Europacific Partners PLC 03/08/2026 09:46:56 GB00BDCPN049 USD $109.8900 1 UBSS VHTG2793620260803E
Coca-Cola Europacific Partners PLC 03/08/2026 09:47:24 GB00BDCPN049 USD $109.9600 52 UBSS VHTG2807020260803E
Coca-Cola Europacific Partners PLC 03/08/2026 09:47:25 GB00BDCPN049 USD $109.9500 40 BAML VHTG2807820260803E
Coca-Cola Europacific Partners PLC 03/08/2026 09:47:32 GB00BDCPN049 USD $109.9000 40 NASD VHTG2809320260803E
Coca-Cola Europacific Partners PLC 03/08/2026 09:47:44 GB00BDCPN049 USD $109.9300 2 BAML VHTG2813220260803E
Coca-Cola Europacific Partners PLC 03/08/2026 09:47:44 GB00BDCPN049 USD $109.9000 25 IEXG VHTG2813320260803E
Coca-Cola Europacific Partners PLC 03/08/2026 09:47:50 GB00BDCPN049 USD $109.8800 15 IEXG VHTG2816420260803E
Coca-Cola Europacific Partners PLC 03/08/2026 09:47:52 GB00BDCPN049 USD $109.7800 40 MEMX VHTG2818220260803E
Coca-Cola Europacific Partners PLC 03/08/2026 09:47:52 GB00BDCPN049 USD $109.8500 40 MEMX VHTG2818120260803E
Coca-Cola Europacific Partners PLC 03/08/2026 09:47:52 GB00BDCPN049 USD $109.8600 4 UBSS VHTG2818020260803E
Coca-Cola Europacific Partners PLC 03/08/2026 09:47:53 GB00BDCPN049 USD $109.7200 20 PCSE VHTG2818320260803E
Coca-Cola Europacific Partners PLC 03/08/2026 09:47:59 GB00BDCPN049 USD $109.6900 40 EPRL VHTG2820020260803E
Coca-Cola Europacific Partners PLC 03/08/2026 09:48:08 GB00BDCPN049 USD $109.6500 3 NASD VHTG2827320260803E
Coca-Cola Europacific Partners PLC 03/08/2026 09:48:08 GB00BDCPN049 USD $109.6500 57 NASD VHTG2827420260803E
Coca-Cola Europacific Partners PLC 03/08/2026 09:48:39 GB00BDCPN049 USD $109.6200 25 PCSE VHTG2860420260803E
Coca-Cola Europacific Partners PLC 03/08/2026 09:48:41 GB00BDCPN049 USD $109.6200 15 PCSE VHTG2861820260803E
Coca-Cola Europacific Partners PLC 03/08/2026 09:48:45 GB00BDCPN049 USD $109.5900 25 NYSE VHTG2864020260803E
Coca-Cola Europacific Partners PLC 03/08/2026 09:48:49 GB00BDCPN049 USD $109.5900 25 NYSE VHTG2867120260803E
Coca-Cola Europacific Partners PLC 03/08/2026 09:48:49 GB00BDCPN049 USD $109.5900 10 NYSE VHTG2867220260803E
Coca-Cola Europacific Partners PLC 03/08/2026 09:48:56 GB00BDCPN049 USD $109.5600 40 MEMX VHTG2875120260803E
Coca-Cola Europacific Partners PLC 03/08/2026 09:49:02 GB00BDCPN049 USD $109.5100 20 BATS VHTG2880820260803E
Coca-Cola Europacific Partners PLC 03/08/2026 09:49:41 GB00BDCPN049 USD $109.5400 10 NASD VHTG2906320260803E
Coca-Cola Europacific Partners PLC 03/08/2026 09:49:41 GB00BDCPN049 USD $109.5400 10 NASD VHTG2906420260803E
Coca-Cola Europacific Partners PLC 03/08/2026 09:50:56 GB00BDCPN049 USD $109.6300 13 UBSS VHTG2949420260803E
Coca-Cola Europacific Partners PLC 03/08/2026 09:50:56 GB00BDCPN049 USD $109.6300 6 UBSS VHTG2949520260803E
Coca-Cola Europacific Partners PLC 03/08/2026 09:51:03 GB00BDCPN049 USD $109.5400 1 NASD VHTG2953620260803E
Coca-Cola Europacific Partners PLC 03/08/2026 09:51:04 GB00BDCPN049 USD $109.5100 20 MEMX VHTG2955520260803E
Coca-Cola Europacific Partners PLC 03/08/2026 09:51:04 GB00BDCPN049 USD $109.5400 19 NASD VHTG2955320260803E
Coca-Cola Europacific Partners PLC 03/08/2026 09:51:09 GB00BDCPN049 USD $109.4300 4 PCSE VHTG2957220260803E
Coca-Cola Europacific Partners PLC 03/08/2026 09:51:09 GB00BDCPN049 USD $109.4300 4 PCSE VHTG2957320260803E
Coca-Cola Europacific Partners PLC 03/08/2026 09:51:09 GB00BDCPN049 USD $109.4300 4 PCSE VHTG2957420260803E
Coca-Cola Europacific Partners PLC 03/08/2026 09:51:09 GB00BDCPN049 USD $109.4300 4 PCSE VHTG2957520260803E
Coca-Cola Europacific Partners PLC 03/08/2026 09:51:09 GB00BDCPN049 USD $109.4300 4 PCSE VHTG2957820260803E
Coca-Cola Europacific Partners PLC 03/08/2026 09:51:09 GB00BDCPN049 USD $109.4300 4 PCSE VHTG2957920260803E
Coca-Cola Europacific Partners PLC 03/08/2026 09:51:09 GB00BDCPN049 USD $109.4300 4 PCSE VHTG2958020260803E
Coca-Cola Europacific Partners PLC 03/08/2026 09:51:10 GB00BDCPN049 USD $109.4300 4 PCSE VHTG2958120260803E
Coca-Cola Europacific Partners PLC 03/08/2026 09:51:10 GB00BDCPN049 USD $109.4300 4 PCSE VHTG2958220260803E
Coca-Cola Europacific Partners PLC 03/08/2026 09:51:10 GB00BDCPN049 USD $109.4300 4 PCSE VHTG2958320260803E
Coca-Cola Europacific Partners PLC 03/08/2026 09:51:17 GB00BDCPN049 USD $109.3900 40 PCSE VHTG2964720260803E
