Smith & Nephew plc
Date of transaction: 29 November 2016
29-Nov-2016 13:38:52 GMT 300 1121.0000 GBp XLON
29-Nov-2016 13:38:52 GMT 923 1121.0000 GBp XLON
29-Nov-2016 10:20:41 GMT 966 1114.0000 GBp XLON
29-Nov-2016 11:38:29 GMT 969 1117.0000 GBp XLON
29-Nov-2016 11:38:30 GMT 970 1117.0000 GBp XLON
29-Nov-2016 11:38:30 GMT 1048 1117.0000 GBp XLON
29-Nov-2016 11:38:30 GMT 1423 1117.0000 GBp XLON
29-Nov-2016 11:38:30 GMT 1772 1117.0000 GBp XLON
29-Nov-2016 11:38:30 GMT 1229 1117.0000 GBp XLON
29-Nov-2016 11:38:30 GMT 1042 1117.0000 GBp XLON
29-Nov-2016 12:12:11 GMT 1241 1119.0000 GBp XLON
29-Nov-2016 11:38:30 GMT 1030 1117.0000 GBp XLON
29-Nov-2016 12:12:11 GMT 147 1119.0000 GBp XLON
29-Nov-2016 12:57:35 GMT 180 1120.0000 GBp XLON
29-Nov-2016 12:57:35 GMT 70 1120.0000 GBp XLON
29-Nov-2016 12:57:35 GMT 800 1120.0000 GBp XLON
29-Nov-2016 10:33:51 GMT 835 1117.0000 GBp XLON
29-Nov-2016 13:52:41 GMT 417 1120.0000 GBp XLON
29-Nov-2016 14:35:43 GMT 750 1122.0000 GBp XLON
29-Nov-2016 14:35:43 GMT 314 1122.0000 GBp XLON
29-Nov-2016 14:35:43 GMT 386 1122.0000 GBp XLON
29-Nov-2016 10:33:51 GMT 257 1117.0000 GBp XLON
29-Nov-2016 13:52:41 GMT 750 1120.0000 GBp XLON
29-Nov-2016 16:21:24 GMT 1560 1122.0000 GBp XLON
29-Nov-2016 15:57:14 GMT 300 1123.0000 GBp XLON
29-Nov-2016 15:58:54 GMT 1681 1123.0000 GBp XLON
29-Nov-2016 15:57:14 GMT 338 1123.0000 GBp XLON
29-Nov-2016 15:58:54 GMT 340 1123.0000 GBp XLON
29-Nov-2016 15:58:54 GMT 1230 1123.0000 GBp XLON
29-Nov-2016 09:43:04 GMT 784 1119.0000 GBp XLON
29-Nov-2016 15:57:14 GMT 171 1123.0000 GBp XLON
29-Nov-2016 15:57:14 GMT 263 1123.0000 GBp XLON
29-Nov-2016 09:43:04 GMT 2745 1119.0000 GBp XLON
29-Nov-2016 15:57:14 GMT 230 1123.0000 GBp XLON
29-Nov-2016 09:43:04 GMT 1172 1119.0000 GBp XLON
29-Nov-2016 15:57:14 GMT 574 1123.0000 GBp XLON
29-Nov-2016 15:58:54 GMT 154 1123.0000 GBp XLON
29-Nov-2016 12:03:51 GMT 180 1118.0000 GBp XLON
29-Nov-2016 12:03:51 GMT 1362 1118.0000 GBp XLON
29-Nov-2016 10:28:51 GMT 171 1117.0000 GBp XLON
29-Nov-2016 10:28:51 GMT 846 1117.0000 GBp XLON
29-Nov-2016 11:55:31 GMT 544 1118.0000 GBp XLON
29-Nov-2016 11:55:31 GMT 107 1118.0000 GBp XLON
29-Nov-2016 11:55:31 GMT 412 1118.0000 GBp XLON
29-Nov-2016 14:54:10 GMT 1896 1121.0000 GBp XLON
29-Nov-2016 16:15:34 GMT 2472 1123.0000 GBp XLON
29-Nov-2016 14:22:12 GMT 752 1120.0000 GBp XLON
29-Nov-2016 14:22:12 GMT 750 1120.0000 GBp XLON
29-Nov-2016 16:11:03 GMT 73 1124.0000 GBp XLON
29-Nov-2016 16:11:03 GMT 972 1124.0000 GBp XLON
29-Nov-2016 16:11:03 GMT 2195 1124.0000 GBp XLON
29-Nov-2016 16:11:03 GMT 982 1124.0000 GBp XLON
29-Nov-2016 16:11:03 GMT 977 1124.0000 GBp XLON
29-Nov-2016 16:11:03 GMT 971 1124.0000 GBp XLON
29-Nov-2016 16:11:03 GMT 991 1124.0000 GBp XLON
29-Nov-2016 16:11:03 GMT 953 1124.0000 GBp XLON
29-Nov-2016 16:11:03 GMT 1812 1124.0000 GBp XLON
29-Nov-2016 16:11:03 GMT 981 1124.0000 GBp XLON
29-Nov-2016 16:11:03 GMT 976 1124.0000 GBp XLON
29-Nov-2016 16:11:03 GMT 1034 1124.0000 GBp XLON
29-Nov-2016 14:57:09 GMT 2046 1121.0000 GBp XLON
29-Nov-2016 11:02:56 GMT 1080 1115.0000 GBp XLON
29-Nov-2016 11:02:56 GMT 173 1115.0000 GBp XLON
29-Nov-2016 11:02:56 GMT 853 1115.0000 GBp XLON
29-Nov-2016 11:02:56 GMT 287 1115.0000 GBp XLON
29-Nov-2016 13:39:06 GMT 1048 1120.0000 GBp XLON
29-Nov-2016 12:17:45 GMT 1256 1121.0000 GBp XLON
29-Nov-2016 10:38:51 GMT 400 1116.0000 GBp XLON
29-Nov-2016 10:38:51 GMT 800 1116.0000 GBp XLON
29-Nov-2016 10:38:51 GMT 286 1116.0000 GBp XLON
29-Nov-2016 10:38:51 GMT 286 1116.0000 GBp XLON
29-Nov-2016 10:17:05 GMT 986 1115.0000 GBp XLON
29-Nov-2016 10:17:05 GMT 1152 1115.0000 GBp XLON
29-Nov-2016 10:17:06 GMT 2916 1115.0000 GBp XLON
29-Nov-2016 16:27:03 GMT 227 1124.0000 GBp XLON
29-Nov-2016 16:27:03 GMT 840 1124.0000 GBp XLON
29-Nov-2016 16:27:03 GMT 285 1124.0000 GBp XLON
29-Nov-2016 16:27:03 GMT 285 1124.0000 GBp XLON
29-Nov-2016 15:15:33 GMT 286 1123.0000 GBp XLON
29-Nov-2016 15:15:33 GMT 490 1123.0000 GBp XLON
29-Nov-2016 15:15:33 GMT 863 1123.0000 GBp XLON
29-Nov-2016 15:15:33 GMT 394 1123.0000 GBp XLON
29-Nov-2016 11:50:08 GMT 991 1117.0000 GBp XLON
29-Nov-2016 11:50:08 GMT 4365 1117.0000 GBp XLON
