ticker,market,isin,tradable_on_t212,t212_ticker,t212_isin,t212_type,t212_currency,t212_exchange,broker_basis,broker_confidence,ii_exchange,tradable_on_ii,deal_channel,confidence,basis,exception_reason,updated_at
FSF.L,ftse_smallcap,,true,,,,,LSE/AIM,exchange_allowlist,assumed,LSE/AIM,true,online,assumed,exchange_allowlist,,2026-07-22
FORT.L,ftse_smallcap,GB00BYYW3C20,true,FORTl_EQ,GB00BYYW3C20,STOCK,GBX,EQ,catalogue_hit,verified,EQ,true,online,verified,catalogue_hit,,2026-07-22
FOXT.L,ftse_smallcap,GB00BCKFY513,true,FOXTl_EQ,GB00BCKFY513,STOCK,GBX,EQ,catalogue_hit,verified,EQ,true,online,verified,catalogue_hit,,2026-07-22
FSTA.L,ftse_smallcap,GB00B1YPC344,true,FSTAl_EQ,GB00B1YPC344,STOCK,GBX,EQ,catalogue_hit,verified,EQ,true,online,verified,catalogue_hit,,2026-07-22
GMS.L,ftse_smallcap,GB00BJVWTM27,true,GMSl_EQ,GB00BJVWTM27,STOCK,GBX,EQ,catalogue_hit,verified,EQ,true,online,verified,catalogue_hit,,2026-07-22
HFD.L,ftse_smallcap,GB00B012TP20,true,HFDl_EQ,GB00B012TP20,STOCK,GBX,EQ,catalogue_hit,verified,EQ,true,online,verified,catalogue_hit,,2026-07-22
HEAD.L,ftse_smallcap,GB0004170089,true,HEADl_EQ,GB0004170089,STOCK,GBX,EQ,catalogue_hit,verified,EQ,true,online,verified,catalogue_hit,,2026-07-22
HLCL.L,ftse_smallcap,GB00BT5GNW84,true,HLCLl_EQ,GB00BT5GNW84,STOCK,GBX,EQ,catalogue_hit,verified,EQ,true,online,verified,catalogue_hit,,2026-07-22
BOOT.L,ftse_smallcap,,true,,,,,LSE/AIM,exchange_allowlist,assumed,LSE/AIM,true,online,assumed,exchange_allowlist,,2026-07-22
HSW.L,ftse_smallcap,GB00BYYN4225,true,HSWl_EQ,GB00BYYN4225,STOCK,GBX,EQ,catalogue_hit,verified,EQ,true,online,verified,catalogue_hit,,2026-07-22
FSJ.L,ftse_smallcap,GB0003395000,true,FSJl_EQ,GB0003395000,STOCK,GBX,EQ,catalogue_hit,verified,EQ,true,online,verified,catalogue_hit,,2026-07-22
JZCP.L,ftse_smallcap,GG00BPNZ7G17,true,JZCPl_EQ,GG00BPNZ7G17,STOCK,GBX,EQ,catalogue_hit,verified,EQ,true,online,verified,catalogue_hit,,2026-07-22
KMR.L,ftse_smallcap,IE00BDC5DG00,true,KMRl_EQ,IE00BDC5DG00,STOCK,GBX,EQ,catalogue_hit,verified,EQ,true,online,verified,catalogue_hit,,2026-07-22
LTI.L,ftse_smallcap,GB00BNKDVV71,true,LTIl_EQ,GB00BNKDVV71,STOCK,GBP,EQ,catalogue_hit,verified,EQ,true,online,verified,catalogue_hit,,2026-07-22
LIO.L,ftse_smallcap,GB0007388407,true,LIOl_EQ,GB0007388407,STOCK,GBX,EQ,catalogue_hit,verified,EQ,true,online,verified,catalogue_hit,,2026-07-22
LWI.L,ftse_smallcap,GB00BNXGHS27,true,LWIl_EQ,GB00BNXGHS27,STOCK,GBX,EQ,catalogue_hit,verified,EQ,true,online,verified,catalogue_hit,,2026-07-22
LSL.L,ftse_smallcap,GB00B1G5HX72,true,LSLl_EQ,GB00B1G5HX72,STOCK,GBX,EQ,catalogue_hit,verified,EQ,true,online,verified,catalogue_hit,,2026-07-22
LUCE.L,ftse_smallcap,GB00BZC0LP49,true,LUCEl_EQ,GB00BZC0LP49,STOCK,GBX,EQ,catalogue_hit,verified,EQ,true,online,verified,catalogue_hit,,2026-07-22
MACF.L,ftse_smallcap,GB0005518872,true,MACFl_EQ,GB0005518872,STOCK,GBX,EQ,catalogue_hit,verified,EQ,true,online,verified,catalogue_hit,,2026-07-22
MAJE.L,ftse_smallcap,GB0005555221,true,MAJEl_EQ,GB0005555221,STOCK,GBX,EQ,catalogue_hit,verified,EQ,true,online,verified,catalogue_hit,,2026-07-22
MARS.L,ftse_smallcap,GB00B1JQDM80,true,MARSl_EQ,GB00B1JQDM80,STOCK,GBX,EQ,catalogue_hit,verified,EQ,true,online,verified,catalogue_hit,,2026-07-22
MER.L,ftse_smallcap,,true,,,,,LSE/AIM,exchange_allowlist,assumed,LSE/AIM,true,online,assumed,exchange_allowlist,,2026-07-22
MWY.L,ftse_smallcap,GB00B6VTTK07,true,MWYl_EQ,GB00B6VTTK07,STOCK,GBX,EQ,catalogue_hit,verified,EQ,true,online,verified,catalogue_hit,,2026-07-22
GLE.L,ftse_smallcap,,true,,,,,LSE/AIM,exchange_allowlist,assumed,LSE/AIM,true,online,assumed,exchange_allowlist,,2026-07-22
MMIT.L,ftse_smallcap,GB00BFZ7R980,true,MMITl_EQ,GB00BFZ7R980,STOCK,GBX,EQ,catalogue_hit,verified,EQ,true,online,verified,catalogue_hit,,2026-07-22
MOTR.L,ftse_smallcap,GB00BD0SFR60,true,MOTRl_EQ,GB00BD0SFR60,STOCK,GBX,EQ,catalogue_hit,verified,EQ,true,online,verified,catalogue_hit,,2026-07-22
NRR.L,ftse_smallcap,GB00BD7XPJ64,true,NRRl_EQ,GB00BD7XPJ64,STOCK,GBX,EQ,catalogue_hit,verified,EQ,true,online,verified,catalogue_hit,,2026-07-22
