ticker,model_id,model_name,passed,score,reasons,failed_criteria,details
DQ7A.IR,earnings_yield,Earnings Yield,False,1.0,['E/P=nan% (P/E=nan)'],['earnings yield nan% below 8%'],
DQ7A.IR,fcf_yield,FCF Yield,True,1.0,['FCF yield=35.3%'],[],
DQ7A.IR,low_pe_high_yield,Low P/E + High Yield,False,0.5,['yield=304.0%'],['P/E not below 12.0'],
DQ7A.IR,lynch_peg,Lynch PEG,False,0.0,"['PEG=nan', 'growth=210.0%']",[],
DQ7A.IR,neff_pegy,Neff PEGY,False,0.0,"['PEGY=nan', 'growth=210.0%', 'yield=304.0%']",['PEGY nan >= 1.0'],
DQ7A.IR,quality_value,Quality Value,False,0.2,['FCF yield >= 3%: FCF yield=35.3%'],"['ROE below 12%', 'thin margins', 'high leverage', 'missing P/E']",
DQ7A.IR,buffett_quality,Buffett Quality,False,0.0,[],"['ROE too low', 'too much debt', 'thin margins', 'missing P/E']",
DQ7A.IR,economic_moat,Economic Moat,False,0.0,[],"['ROE below 18%', 'ROA below 8%', 'margins below 12%', 'leverage too high']",
DQ7A.IR,high_dividend,High Dividend Yield,False,0.4706,"['yield=304.0%', 'universe rank 47%']","['not in top quartile for yield', 'no positive earnings']",
DQ7A.IR,dividend_growth,Dividend Growth,True,0.6667,"['dividend payer: yield=304.0%', 'earnings growth: growth=210.0%']",['P/E out of range'],
DQ7A.IR,magic_formula,Magic Formula,False,0.4667,['earnings yield rank 93%'],['below top half on combined Magic Formula rank'],
DQ7A.IR,acquirers_multiple,Acquirer's Multiple,False,0.0,[],['missing EV or EBIT'],
DQ7A.IR,dreman_contrarian,Dreman Contrarian,False,0.6853,['low P/B rank 90%'],['dividend yield below median'],
DQ7A.IR,piotroski_f,Piotroski F-Score,False,0.5556,"['F-Score=5/9', 'positive net income', 'positive operating cash flow', 'OCF > net income', 'leverage declining', 'no share dilution']","['F-Score 5/9 below 7', 'ROA improving', 'current ratio improving', 'gross margin improving', 'asset turnover improving']","{'f_score': 5, 'max_score': 9, 'components': [{'name': 'positive net income', 'passed': True}, {'name': 'positive operating cash flow', 'passed': True}, {'name': 'ROA improving', 'passed': False}, {'name': 'OCF > net income', 'passed': True}, {'name': 'leverage declining', 'passed': True}, {'name': 'current ratio improving', 'passed': False}, {'name': 'no share dilution', 'passed': True}, {'name': 'gross margin improving', 'passed': False}, {'name': 'asset turnover improving', 'passed': False}]}"
DQ7A.IR,composite_value,Composite Value,True,0.8222,"['top-tier on price_to_book (percentile 100%)', 'top-tier on ev_ebitda (percentile 100%)']",['missing trailing_pe'],
DQ7A.IR,earnings_quality,Earnings Quality,True,1.0,"['FCF/NI=47.37', 'OCF/NI=5.27', 'ratio=-2.62%']",[],
DQ7A.IR,financial_health,Financial Health,False,0.6,"['leverage=0.0%', 'CR=3.01', 'insufficient data — skipped']","['high debt to equity', 'weak interest coverage']",
EG7.IR,graham_defensive,Graham Defensive,False,0.75,"['P/E < 15: P/E=9.6', 'P/B < 1.5 or P/E×P/B < 22.5: P/B=1.37', 'Dividend payer: yield=548.00%']",['current ratio < 2'],
EG7.IR,graham_enterprising,Graham Enterprising,True,1.0,"['P/E < 25: P/E=9.6', 'P/B < 3: P/B=1.37', 'Debt/equity < 100%: D/E=11%', 'ROE > 8%: ROE=14.7%', 'Positive earnings growth: growth=157.5%']",[],
EG7.IR,graham_net_net,Graham Net-Net,False,0.0,[],['missing NCAV (balance sheet data)'],
EG7.IR,schloss,Schloss Low P/B,False,0.5,['D/E < 50.0%: D/E=11%'],['P/B too high'],
EG7.IR,deep_value,Deep Value,False,0.5,['EV/EBITDA=3.6'],['P/B not below 1.0'],
EG7.IR,earnings_yield,Earnings Yield,True,0.8676,['E/P=10.4% (P/E=9.6)'],[],
EG7.IR,fcf_yield,FCF Yield,True,1.0,['FCF yield=104.5%'],[],
EG7.IR,low_pe_high_yield,Low P/E + High Yield,True,1.0,"['P/E=9.6', 'yield=548.0%']",[],
EG7.IR,lynch_peg,Lynch PEG,True,0.939,"['PEG=0.06', 'growth=157.5%']",[],
EG7.IR,neff_pegy,Neff PEGY,True,0.9864,"['PEGY=0.01', 'growth=157.5%', 'yield=548.0%']",[],
EG7.IR,quality_value,Quality Value,True,1.0,"['ROE >= 12%: ROE=14.7%', 'Profit margin >= 5%: margin=13.3%', 'Debt/equity < 80%: D/E=11%', 'P/E < 20: P/E=9.6', 'FCF yield >= 3%: FCF yield=104.5%']",[],
EG7.IR,buffett_quality,Buffett Quality,False,0.75,"['D/E < 60.0%: D/E=11%', 'margin >= 8%: margin=13.3%', 'P/E < 25.0: P/E=9.6']",['ROE too low'],
EG7.IR,economic_moat,Economic Moat,False,0.5,"['wide margin=13.3%', 'low leverage D/E=11%']","['ROE below 18%', 'ROA below 8%']",
EG7.IR,high_dividend,High Dividend Yield,True,0.8235,"['yield=548.0%', 'universe rank 82%']",[],
EG7.IR,dividend_growth,Dividend Growth,True,1.0,"['dividend payer: yield=548.0%', 'earnings growth: growth=157.5%', 'reasonable P/E: P/E=9.6']",[],
EG7.IR,magic_formula,Magic Formula,False,0.0,[],['missing EBIT/EV or ROIC inputs'],
EG7.IR,acquirers_multiple,Acquirer's Multiple,True,0.8667,"['EV/EBIT=8.6', 'universe rank 87%']",[],
EG7.IR,dreman_contrarian,Dreman Contrarian,True,0.7727,"['low P/E rank 94%', 'dividend rank 82%']",['P/B not cheap vs universe'],
EG7.IR,piotroski_f,Piotroski F-Score,False,0.5556,"['F-Score=5/9', 'positive net income', 'positive operating cash flow', 'OCF > net income', 'no share dilution', 'asset turnover improving']","['F-Score 5/9 below 7', 'ROA improving', 'leverage declining', 'current ratio improving', 'gross margin improving']","{'f_score': 5, 'max_score': 9, 'components': [{'name': 'positive net income', 'passed': True}, {'name': 'positive operating cash flow', 'passed': True}, {'name': 'ROA improving', 'passed': False}, {'name': 'OCF > net income', 'passed': True}, {'name': 'leverage declining', 'passed': False}, {'name': 'current ratio improving', 'passed': False}, {'name': 'no share dilution', 'passed': True}, {'name': 'gross margin improving', 'passed': False}, {'name': 'asset turnover improving', 'passed': True}]}"
EG7.IR,composite_value,Composite Value,True,0.65,"['top-tier on trailing_pe (percentile 100%)', 'top-tier on price_to_book (percentile 75%)', 'top-tier on ev_ebitda (percentile 100%)']",[],
EG7.IR,earnings_quality,Earnings Quality,True,1.0,"['FCF/NI=16.36', 'OCF/NI=1.39', 'ratio=-1.35%']",[],
